content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
"siang, Saya ada kendala tidak bisa daftar stockbit alasannya no sudah terdaftar mohon bantuannya terima kasih.",5,"siang, saya ada kendala tidak bisa daftar stockbit alasannya no sudah terdaftar mohon bantuannya terima kasih.",siang saya ada kendala tidak bisa daftar stockbit alasannya no sudah terdaftar mohon bantuannya terima kasih,siang saya ada kendala tidak bisa daftar stockbit alasannya no sudah terdaftar mohon bantuannya terima kasih,siang kendala tidak daftar stockbit alasannya no terdaftar mohon bantuannya terima kasih,siang kendala daftar stockbit alasannya no terdaftar mohon bantuannya terima kasih,siang kendala tidak daftar stockbit alas no daftar mohon bantu terima kasih,pos,2
membatu tambakan lagi cara mempermudah penggunaan nya,5,membatu tambakan lagi cara mempermudah penggunaan nya,membatu tambakan lagi cara mempermudah penggunaan nya,membatu tambakan lagi cara mempermudah penggunaan nya,membatu tambakan mempermudah penggunaan,membatu tambakan mempermudah penggunaan,batu tambakan mudah guna,pos,1
"Sejauh ini lebih baik dibanding kompetitor, cuma 1 aja yg masih lambat prihal penarikan RDN",4,"sejauh ini lebih baik dibanding kompetitor, cuma 1 aja yg masih lambat prihal penarikan rdn",sejauh ini lebih baik dibanding kompetitor cuma aja yg masih lambat prihal penarikan rdn,sejauh ini lebih baik dibanding kompetitor cuma saja yang masih lambat prihal penarikan rdn,dibanding kompetitor lambat prihal penarikan rdn,dibanding kompetitor lambat prihal penarikan rdn,banding kompetitor lambat prihal tari rdn,pos,5
"Virtualnya sih ok, ndak tau aslinya gimana? Apa secepat virtualnya?",5,"virtualnya sih ok, ndak tau aslinya gimana? apa secepat virtualnya?",virtualnya sih ok ndak tau aslinya gimana apa secepat virtualnya,virtualnya sih oke tidak tahu aslinya bagaimana apa secepat virtualnya,virtualnya sih oke tidak aslinya secepat virtualnya,virtualnya sih oke aslinya secepat virtualnya,virtual sih oke tidak asli cepat virtual,pos,0
Gila..aplikasi trading saham yang bagus dan lengkap..keren stockbit..,5,gila..aplikasi trading saham yang bagus dan lengkap..keren stockbit..,gila aplikasi trading saham yang bagus dan lengkap keren stockbit,gila aplikasi trading saham yang bagus dan lengkap keren stockbit,gila aplikasi trading saham bagus lengkap keren stockbit,gila aplikasi trading saham bagus lengkap keren stockbit,gila aplikasi trading saham bagus lengkap keren stockbit,pos,2
mudah dan cepat bertransaksi,5,mudah dan cepat bertransaksi,mudah dan cepat bertransaksi,mudah dan cepat bertransaksi,mudah cepat bertransaksi,mudah cepat bertransaksi,mudah cepat transaksi,pos,3
Aplikasinya keren. Mudah digunakan. Info lengkap. Akun sekuritas sy pun kalah enaknya.,5,aplikasinya keren. mudah digunakan. info lengkap. akun sekuritas sy pun kalah enaknya.,aplikasinya keren mudah digunakan info lengkap akun sekuritas sy pun kalah enaknya,aplikasinya keren mudah digunakan informasi lengkap akun sekuritas saya pun kalah enaknya,aplikasinya keren mudah informasi lengkap akun sekuritas kalah enaknya,aplikasinya keren mudah informasi lengkap akun sekuritas kalah enaknya,aplikasi keren mudah informasi lengkap akun sekuritas kalah enak,pos,0
"Udah coba akun virtualnya, mungkin kedepannya bisa daftar full online agar memudahkan calon investor",5,"udah coba akun virtualnya, mungkin kedepannya bisa daftar full online agar memudahkan calon investor",udah coba akun virtualnya mungkin kedepannya bisa daftar full online agar memudahkan calon investor,sudah coba akun virtualnya mungkin kedepannya bisa daftar full online agar memudahkan calon investor,coba akun virtualnya kedepannya daftar full online memudahkan calon investor,coba akun virtualnya kedepannya daftar full online memudahkan calon investor,coba akun virtual depan daftar full online mudah calon investor,pos,3
Nice to be able to invest here,5,nice to be able to invest here,nice to be able to invest here,nice to be able to investasi here,nice to be able to investasi here,nice to be able to investasi here,nice to be able to investasi here,pos,3
"makasih banget sih sma admin yg dah bantu masuk/login.,,walau telat yh momen invest lagi keuangan dah mulai stabil.,,mulai dari nol guys",5,"makasih banget sih sma admin yg dah bantu masuk/login.,,walau telat yh momen invest lagi keuangan dah mulai stabil.,,mulai dari nol guys",makasih banget sih sma admin yg dah bantu masuk login walau telat yh momen invest lagi keuangan dah mulai stabil mulai dari nol guys,terima kasih banget sih sama admin yang sudah bantu masuk login walau terlambat ya momen investasi lagi keuangan sudah mulai stabil mulai dari nol teman-teman,terima kasih banget sih admin bantu masuk login terlambat ya momen investasi keuangan stabil nol teman-teman,terima kasih banget sih admin bantu masuk login terlambat ya momen investasi keuangan stabil nol teman-teman,terima kasih banget sih admin bantu masuk login lambat ya momen investasi uang stabil nol teman,pos,3
Sudah bagus buat pemula seperti saya,5,sudah bagus buat pemula seperti saya,sudah bagus buat pemula seperti saya,sudah bagus buat pemula seperti saya,bagus pemula,bagus pemula,bagus mula,pos,1
Simpel mudah digunakan mudah dipahami gak terlalu banyak fitur yang mengganggu,5,simpel mudah digunakan mudah dipahami gak terlalu banyak fitur yang mengganggu,simpel mudah digunakan mudah dipahami gak terlalu banyak fitur yang mengganggu,simpel mudah digunakan mudah dipahami tidak terlalu banyak fitur yang mengganggu,simpel mudah mudah dipahami tidak fitur mengganggu,simpel mudah mudah dipahami fitur mengganggu,simpel mudah mudah paham tidak fitur ganggu,pos,1
"Fitur gratisnya sangat dermawan, makasih stockbit. Sedang mempertimbangkan untuk pindah sekuritas. Tolong fitur sort by di menu watchlist nya dipermudah penggunaanya, terlalu ribet kalau haru bolak balik ke pengaturan watchlist melulu.",5,"fitur gratisnya sangat dermawan, makasih stockbit. sedang mempertimbangkan untuk pindah sekuritas. tolong fitur sort by di menu watchlist nya dipermudah penggunaanya, terlalu ribet kalau haru bolak balik ke pengaturan watchlist melulu.",fitur gratisnya sangat dermawan makasih stockbit sedang mempertimbangkan untuk pindah sekuritas tolong fitur sort by di menu watchlist nya dipermudah penggunaanya terlalu ribet kalau haru bolak balik ke pengaturan watchlist melulu,fitur gratisnya sangat dermawan terima kasih stockbit sedang mempertimbangkan untuk pindah sekuritas tolong fitur sort by di menu watchlist nya dipermudah penggunaanya terlalu ribet kalau harus bolak balik ke pengaturan watchlist melulu,fitur gratisnya dermawan terima kasih stockbit mempertimbangkan pindah sekuritas tolong fitur sort by menu watchlist dipermudah penggunaanya ribet bolak pengaturan watchlist melulu,fitur gratisnya dermawan terima kasih stockbit mempertimbangkan pindah sekuritas tolong fitur sort by menu watchlist dipermudah penggunaanya ribet bolak pengaturan watchlist melulu,fitur gratis dermawan terima kasih stockbit timbang pindah sekuritas tolong fitur sort by menu watchlist mudah penggunaanya ribet bolak atur watchlist melulu,pos,2
apk bgus dan mudah,5,apk bgus dan mudah,apk bgus dan mudah,apakah bagus dan mudah,bagus mudah,bagus mudah,bagus mudah,pos,1
Very Good.... ada fitur virtual trading nya jadi bisa coba2 belajar sambil praktek beli dan jual saham,5,very good.... ada fitur virtual trading nya jadi bisa coba2 belajar sambil praktek beli dan jual saham,very good ada fitur virtual trading nya jadi bisa coba belajar sambil praktek beli dan jual saham,sangat good ada fitur virtual trading nya jadi bisa coba belajar sambil praktik beli dan jual saham,good fitur virtual trading coba belajar praktik beli jual saham,good fitur virtual trading coba belajar praktik beli jual saham,good fitur virtual trading coba ajar praktik beli jual saham,pos,3
"Cocok banget buat pemula, mantappp",5,"cocok banget buat pemula, mantappp",cocok banget buat pemula mantapp,cocok banget buat pemula mantap,cocok banget pemula mantap,cocok banget pemula mantap,cocok banget mula mantap,pos,1
"aplikasinya bagus,cocok di gunakan untuk pemula.",5,"aplikasinya bagus,cocok di gunakan untuk pemula.",aplikasinya bagus cocok di gunakan untuk pemula,aplikasinya bagus cocok di gunakan untuk pemula,aplikasinya bagus cocok pemula,aplikasinya bagus cocok pemula,aplikasi bagus cocok mula,pos,0
Belajar belajar belajar..... 😀😀😀,5,belajar belajar belajar..... 😀😀😀,belajar belajar belajar,belajar belajar belajar,belajar belajar belajar,belajar belajar belajar,ajar ajar ajar,pos,1
Ui tidak berantakan spt apl2 saham pada umumnya,5,ui tidak berantakan spt apl2 saham pada umumnya,ui tidak berantakan spt apl saham pada umumnya,oi tidak berantakan surat pemberitahuan tahunan apl saham pada umumnya,oi tidak berantakan surat pemberitahuan tahunan apl saham,oi berantakan surat pemberitahuan tahunan apl saham,oi tidak beranta surat pemberitahuan tahun apl saham,pos,6
"Aplikasi bagus, bermanfaat sekali! Aku yang dari nol perlahan jadi paham dengan belajar ilmu saham di Stockbit ini !",4,"aplikasi bagus, bermanfaat sekali! aku yang dari nol perlahan jadi paham dengan belajar ilmu saham di stockbit ini !",aplikasi bagus bermanfaat sekali aku yang dari nol perlahan jadi paham dengan belajar ilmu saham di stockbit ini,aplikasi bagus bermanfaat sekali aku yang dari nol perlahan jadi paham dengan belajar ilmu saham di stockbit ini,aplikasi bagus bermanfaat nol perlahan paham belajar ilmu saham stockbit,aplikasi bagus bermanfaat nol perlahan paham belajar ilmu saham stockbit,aplikasi bagus manfaat nol perlahan paham ajar ilmu saham stockbit,pos,2
"Saya suka stockbit,. Sangat mudah digunakan...",5,"saya suka stockbit,. sangat mudah digunakan...",saya suka stockbit sangat mudah digunakan,saya suka stockbit sangat mudah digunakan,suka stockbit mudah,suka stockbit mudah,suka stockbit mudah,pos,2
"mantap kalo ada masalah,langsung tanya ke admin diberi bantuan, langsung selesai masalah,goodjob",5,"mantap kalo ada masalah,langsung tanya ke admin diberi bantuan, langsung selesai masalah,goodjob",mantap kalo ada masalah langsung tanya ke admin diberi bantuan langsung selesai masalah goodjob,mantap kalau ada masalah langsung tanya ke admin diberi bantuan langsung selesai masalah goodjob,mantap langsung admin bantuan langsung selesai goodjob,mantap langsung admin bantuan langsung selesai goodjob,mantap langsung admin bantu langsung selesai goodjob,pos,0
Fiturny bagus buat invest..,5,fiturny bagus buat invest..,fiturny bagus buat invest,fiturny bagus buat investasi,fiturny bagus investasi,fiturny bagus investasi,fiturny bagus investasi,pos,3
"Untuk sekarang stockbit paling enak buat investasi, fee paling murah, tool juga lengkap, cuman klo untuk scalping masih belum rekomen, masih suka lelet jaringannya",5,"untuk sekarang stockbit paling enak buat investasi, fee paling murah, tool juga lengkap, cuman klo untuk scalping masih belum rekomen, masih suka lelet jaringannya",untuk sekarang stockbit paling enak buat investasi fee paling murah tool juga lengkap cuman klo untuk scalping masih belum rekomen masih suka lelet jaringannya,untuk sekarang stockbit paling enak buat investasi fee paling murah tool juga lengkap cuma kalau untuk scalping masih belum rekomen masih suka lambat jaringannya,stockbit enak investasi fee murah tool lengkap scalping belum rekomen suka lambat jaringannya,stockbit enak investasi fee murah tool lengkap scalping rekomen suka lambat jaringannya,stockbit enak investasi fee murah tool lengkap scalping belum rekomen suka lambat jaring,pos,2
Mantul mantul mantul bro👍👍👍,5,mantul mantul mantul bro👍👍👍,mantul mantul mantul bro,mantap betul mantap betul mantap betul saudara laki-laki,mantap mantap mantap saudara laki-laki,mantap mantap mantap saudara laki-laki,mantap mantap mantap saudara laki,pos,1
Untuk pemula aplikasi ini bagus..tampilan sederhana dan fitur-fitur yg mudah dan jelas,5,untuk pemula aplikasi ini bagus..tampilan sederhana dan fitur-fitur yg mudah dan jelas,untuk pemula aplikasi ini bagus tampilan sederhana dan fitur fitur yg mudah dan jelas,untuk pemula aplikasi ini bagus tampilan sederhana dan fitur fitur yang mudah dan jelas,pemula aplikasi bagus tampilan sederhana fitur fitur mudah,pemula aplikasi bagus tampilan sederhana fitur fitur mudah,mula aplikasi bagus tampil sederhana fitur fitur mudah,pos,0
"Aplikasi sekuritas dengan UI terbaik, tampilan bagus lebih clean.",5,"aplikasi sekuritas dengan ui terbaik, tampilan bagus lebih clean.",aplikasi sekuritas dengan ui terbaik tampilan bagus lebih clean,aplikasi sekuritas dengan oi terbaik tampilan bagus lebih clean,aplikasi sekuritas oi terbaik tampilan bagus clean,aplikasi sekuritas oi terbaik tampilan bagus clean,aplikasi sekuritas oi baik tampil bagus clean,pos,0
"setelah 2tahun pakai, perbaikan cukup terasa sangat signifikan.. jadi akun prioritas lah",4,"setelah 2tahun pakai, perbaikan cukup terasa sangat signifikan.. jadi akun prioritas lah",setelah tahun pakai perbaikan cukup terasa sangat signifikan jadi akun prioritas lah,setelah tahun pakai perbaikan cukup terasa sangat signifikan jadi akun prioritas lah,pakai perbaikan signifikan akun prioritas,pakai perbaikan signifikan akun prioritas,pakai baik signifikan akun prioritas,pos,7
"Buat pemula belajar saham jadi gampang, karena ada virtual account-nya",5,"buat pemula belajar saham jadi gampang, karena ada virtual account-nya",buat pemula belajar saham jadi gampang karena ada virtual account nya,buat pemula belajar saham jadi gampang karena ada virtual account nya,pemula belajar saham gampang virtual account,pemula belajar saham gampang virtual account,mula ajar saham gampang virtual account,pos,3
registrasi ngulang mulu.. ga lanjut ke verifikasi,5,registrasi ngulang mulu.. ga lanjut ke verifikasi,registrasi ngulang mulu ga lanjut ke verifikasi,registrasi mengulang melulu tidak lanjut ke verifikasi,registrasi mengulang melulu tidak verifikasi,registrasi mengulang melulu verifikasi,registrasi ulang melulu tidak verifikasi,pos,0
"alhamdulillah dikit demi sedikit lama lama menjadi bukit, terimakasih stockbit sudah menyediakan layanan investasi yg mudah digunakan",5,"alhamdulillah dikit demi sedikit lama lama menjadi bukit, terimakasih stockbit sudah menyediakan layanan investasi yg mudah digunakan",alhamdulillah dikit demi sedikit lama lama menjadi bukit terimakasih stockbit sudah menyediakan layanan investasi yg mudah digunakan,alhamdulillah sedikit demi sedikit lama lama menjadi bukit terima kasih stockbit sudah menyediakan layanan investasi yang mudah digunakan,alhamdulillah bukit terima kasih stockbit menyediakan layanan investasi mudah,alhamdulillah bukit terima kasih stockbit menyediakan layanan investasi mudah,alhamdulillah bukit terima kasih stockbit sedia layan investasi mudah,pos,2
mantap Selalu Stokbit Sekuritas,5,mantap selalu stokbit sekuritas,mantap selalu stokbit sekuritas,mantap selalu stokbit sekuritas,mantap stokbit sekuritas,mantap stokbit sekuritas,mantap stokbit sekuritas,pos,1
